epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3538.63,1.0077,1.45892,1.23823,0.78581,0.68694,0.77728,0.6453,0.5634,1.10359,0.84993,0.000974557,0.000974557,0.000974557
43,3622.28,1.00828,1.43995,1.23482,0.76778,0.70439,0.78359,0.64356,0.579,0.95251,0.84767,0.000973312,0.000973312,0.000973312
44,3706.23,1.00024,1.42312,1.22641,0.76186,0.72816,0.78877,0.6553,0.5533,0.91187,0.83959,0.000972039,0.000972039,0.000972039
45,3790.21,0.9973,1.41417,1.22804,0.77851,0.71713,0.78817,0.64953,0.56909,0.88748,0.84486,0.000970736,0.000970736,0.000970736
46,3873.8,1.00417,1.43614,1.22807,0.7634,0.72435,0.78681,0.65267,0.56113,0.93984,0.8411,0.000969405,0.000969405,0.000969405
47,3957.55,0.99705,1.4171,1.22537,0.80912,0.70482,0.79741,0.66372,0.54485,0.81955,0.83315,0.000968045,0.000968045,0.000968045
48,4041.56,0.97823,1.37879,1.21612,0.7621,0.7388,0.79928,0.66537,0.54944,0.84149,0.83429,0.000966656,0.000966656,0.000966656
49,4125.25,0.98323,1.39253,1.22479,0.81204,0.70844,0.80556,0.67438,0.53802,0.78597,0.82871,0.000965239,0.000965239,0.000965239
50,4209.1,0.97385,1.3895,1.21536,0.77075,0.73534,0.80766,0.67491,0.54715,0.89604,0.83092,0.000963794,0.000963794,0.000963794
51,4293.75,0.97334,1.35991,1.21128,0.79166,0.73989,0.81116,0.67953,0.53678,0.87748,0.83269,0.00096232,0.00096232,0.00096232
52,4379.19,0.97123,1.36937,1.21516,0.81009,0.73002,0.81209,0.6804,0.54462,0.88414,0.83263,0.000960819,0.000960819,0.000960819
53,4463.57,0.97446,1.36166,1.21256,0.81354,0.71983,0.81234,0.68237,0.52875,0.96328,0.82573,0.000959289,0.000959289,0.000959289
54,4547.59,0.96995,1.35025,1.21479,0.80763,0.73287,0.81441,0.68765,0.52471,0.97024,0.82531,0.000957731,0.000957731,0.000957731
55,4631.75,0.96364,1.34759,1.20901,0.77057,0.76476,0.81552,0.6876,0.52561,0.91412,0.82672,0.000956145,0.000956145,0.000956145
56,4715.42,0.96117,1.34517,1.20859,0.77281,0.75856,0.81629,0.68603,0.52729,0.80738,0.82438,0.000954531,0.000954531,0.000954531
57,4799.2,0.95534,1.33448,1.20603,0.79631,0.74562,0.82168,0.68894,0.52265,0.76707,0.82525,0.000952889,0.000952889,0.000952889
58,4883.76,0.94873,1.31437,1.20242,0.83352,0.7207,0.81989,0.68837,0.52497,0.78565,0.82406,0.00095122,0.00095122,0.00095122
59,4967.85,0.94504,1.30772,1.20067,0.79893,0.7499,0.82128,0.69084,0.52431,0.78556,0.82393,0.000949524,0.000949524,0.000949524
60,5051.9,0.94838,1.30768,1.20135,0.80945,0.74306,0.82301,0.69745,0.51436,0.83062,0.82186,0.0009478,0.0009478,0.0009478
61,5135.48,0.9537,1.30714,1.20921,0.81538,0.74582,0.82696,0.70395,0.5046,0.85161,0.82015,0.000946048,0.000946048,0.000946048
62,5219.49,0.94344,1.3206,1.20124,0.80766,0.75745,0.82692,0.7049,0.49997,0.83349,0.81999,0.00094427,0.00094427,0.00094427
63,5303.28,0.94651,1.3002,1.20307,0.82415,0.74646,0.83071,0.70852,0.49798,0.83342,0.8174,0.000942464,0.000942464,0.000942464
64,5387.92,0.9319,1.27168,1.1948,0.81721,0.76298,0.8331,0.71268,0.49724,0.82439,0.81608,0.000940631,0.000940631,0.000940631
65,5472.59,0.9314,1.27682,1.19477,0.81578,0.76146,0.83581,0.71434,0.49593,0.80378,0.81585,0.000938772,0.000938772,0.000938772
66,5556.79,0.9323,1.27794,1.19448,0.8338,0.75008,0.83733,0.71882,0.4909,0.79384,0.81464,0.000936886,0.000936886,0.000936886
67,5640.72,0.91843,1.26279,1.19058,0.82063,0.7656,0.83854,0.71964,0.49029,0.7883,0.81383,0.000934973,0.000934973,0.000934973
68,5724.64,0.91298,1.24612,1.18485,0.80748,0.78037,0.83772,0.71833,0.4878,0.76691,0.81272,0.000933033,0.000933033,0.000933033
69,5808.39,0.92233,1.261,1.18809,0.82522,0.76929,0.83887,0.71791,0.48637,0.7753,0.8103,0.000931067,0.000931067,0.000931067
70,5891.94,0.91673,1.25497,1.1871,0.83892,0.76534,0.83923,0.72043,0.48534,0.7713,0.80913,0.000929075,0.000929075,0.000929075
71,5976.11,0.91363,1.24613,1.18615,0.84343,0.76702,0.84191,0.72196,0.48161,0.75458,0.80858,0.000927057,0.000927057,0.000927057
72,6059.94,0.90833,1.22949,1.18586,0.83794,0.76777,0.84325,0.72568,0.48111,0.75894,0.80706,0.000925013,0.000925013,0.000925013
73,6143.95,0.91454,1.2345,1.18704,0.84565,0.75916,0.84234,0.72503,0.48083,0.74782,0.80631,0.000922942,0.000922942,0.000922942
