epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6252.01,0.94687,1.44085,1.26836,0.73464,0.72943,0.78217,0.66641,0.50052,1.03536,0.82536,0.000974557,0.000974557,0.000974557
43,6400.3,0.94742,1.40577,1.26737,0.77339,0.72203,0.79227,0.67242,0.5054,0.97474,0.82228,0.000973312,0.000973312,0.000973312
44,6548.52,0.93226,1.39361,1.25552,0.79504,0.70475,0.79016,0.67968,0.47325,0.92405,0.81634,0.000972039,0.000972039,0.000972039
45,6696.71,0.92942,1.39904,1.26007,0.78894,0.71955,0.79539,0.68059,0.48836,0.95867,0.81843,0.000970736,0.000970736,0.000970736
46,6844.7,0.93771,1.40815,1.2584,0.77206,0.73025,0.80002,0.68622,0.47727,0.96932,0.81067,0.000969405,0.000969405,0.000969405
47,6992.87,0.92889,1.38808,1.25564,0.78031,0.74931,0.80885,0.6988,0.47114,0.92788,0.81371,0.000968045,0.000968045,0.000968045
48,7142.2,0.91485,1.35049,1.2431,0.79321,0.74576,0.81114,0.69844,0.46952,0.91967,0.81121,0.000966656,0.000966656,0.000966656
49,7289.87,0.92812,1.35797,1.25121,0.79664,0.72797,0.80252,0.69564,0.46522,0.85045,0.79954,0.000965239,0.000965239,0.000965239
50,7437.94,0.91282,1.34527,1.24078,0.80069,0.74133,0.80721,0.69814,0.46849,0.89494,0.8039,0.000963794,0.000963794,0.000963794
51,7585.69,0.90318,1.31289,1.23551,0.79748,0.73715,0.81198,0.70557,0.45573,1.01354,0.79922,0.00096232,0.00096232,0.00096232
52,7734.77,0.90739,1.32957,1.23977,0.77716,0.7588,0.80952,0.70541,0.45704,1.02298,0.8029,0.000960819,0.000960819,0.000960819
53,7882.7,0.91004,1.32583,1.23687,0.79444,0.74165,0.81317,0.70666,0.45921,1.03896,0.80328,0.000959289,0.000959289,0.000959289
54,8031.26,0.89963,1.30946,1.23816,0.80002,0.74627,0.81859,0.7164,0.44741,0.90507,0.79993,0.000957731,0.000957731,0.000957731
55,8180.3,0.90355,1.30281,1.23315,0.82865,0.73462,0.82004,0.7137,0.45177,0.90316,0.80118,0.000956145,0.000956145,0.000956145
56,8328.56,0.89824,1.29892,1.23512,0.82046,0.73856,0.82012,0.71479,0.44948,1.00428,0.79801,0.000954531,0.000954531,0.000954531
57,8476.2,0.88646,1.29481,1.22449,0.84087,0.72298,0.82218,0.71809,0.44369,1.0173,0.79475,0.000952889,0.000952889,0.000952889
58,8624.1,0.88113,1.27761,1.2209,0.8482,0.72005,0.82364,0.71767,0.44825,1.04032,0.79611,0.00095122,0.00095122,0.00095122
59,8772.55,0.88262,1.26891,1.223,0.85177,0.72112,0.82691,0.71957,0.45374,0.95486,0.79807,0.000949524,0.000949524,0.000949524
60,8921.17,0.8831,1.25171,1.22103,0.8261,0.74556,0.82802,0.7253,0.44541,1.14394,0.79682,0.0009478,0.0009478,0.0009478
