epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9256.45,0.71184,0.8627,1.17865,0.8519,0.7885,0.85781,0.76364,0.40523,0.60426,0.81454,0.000974557,0.000974557,0.000974557
43,9476.55,0.71627,0.85271,1.17878,0.86329,0.77241,0.85108,0.75903,0.40112,0.67359,0.81663,0.000973312,0.000973312,0.000973312
44,9695.89,0.70751,0.851,1.1791,0.83542,0.80175,0.85459,0.76305,0.39277,0.55111,0.81359,0.000972039,0.000972039,0.000972039
45,9915.29,0.71417,0.85784,1.17987,0.84932,0.80236,0.85684,0.76552,0.3962,0.61953,0.81127,0.000970736,0.000970736,0.000970736
46,10136.6,0.71786,0.86392,1.18019,0.86438,0.78683,0.85669,0.76663,0.39386,0.54367,0.81111,0.000969405,0.000969405,0.000969405
47,10357.2,0.71429,0.85318,1.17789,0.82489,0.799,0.85462,0.76276,0.39685,0.6118,0.81218,0.000968045,0.000968045,0.000968045
48,10576.5,0.70492,0.84096,1.17724,0.85609,0.78771,0.85976,0.77023,0.38867,0.64538,0.80879,0.000966656,0.000966656,0.000966656
49,10796.2,0.71079,0.84854,1.17911,0.87115,0.78688,0.86064,0.76965,0.38718,0.5604,0.8038,0.000965239,0.000965239,0.000965239
50,11016.2,0.70752,0.84094,1.17191,0.85697,0.80104,0.86004,0.76931,0.38752,0.5423,0.80648,0.000963794,0.000963794,0.000963794
51,11235.5,0.70168,0.82843,1.1636,0.87002,0.79006,0.85909,0.76658,0.39306,0.55791,0.81113,0.00096232,0.00096232,0.00096232
52,11455.3,0.70605,0.83756,1.17345,0.86204,0.80452,0.86302,0.77383,0.3883,0.54633,0.8084,0.000960819,0.000960819,0.000960819
53,11675.4,0.70831,0.83626,1.17019,0.87208,0.78939,0.86215,0.77397,0.38589,0.60358,0.80848,0.000959289,0.000959289,0.000959289
54,11895.3,0.70171,0.83458,1.17577,0.86721,0.79251,0.86427,0.77729,0.37896,0.64188,0.80621,0.000957731,0.000957731,0.000957731
55,12115.1,0.70405,0.82887,1.1756,0.83321,0.82319,0.86746,0.77946,0.38011,0.60296,0.8063,0.000956145,0.000956145,0.000956145
56,12335.4,0.70046,0.82929,1.16754,0.87548,0.79262,0.86645,0.77676,0.38266,0.59415,0.80903,0.000954531,0.000954531,0.000954531
57,12554.9,0.70049,0.83007,1.17002,0.88055,0.78837,0.86669,0.77876,0.3749,0.61415,0.80276,0.000952889,0.000952889,0.000952889
58,12776.6,0.69329,0.81794,1.16086,0.86443,0.80936,0.86839,0.78105,0.38085,0.5971,0.80292,0.00095122,0.00095122,0.00095122
59,12999,0.69917,0.82214,1.1688,0.88468,0.7956,0.86587,0.77617,0.38316,0.57117,0.80392,0.000949524,0.000949524,0.000949524
60,13218.5,0.70006,0.8195,1.17194,0.88926,0.79249,0.86539,0.77647,0.38275,0.52992,0.80463,0.0009478,0.0009478,0.0009478
